canonical_ticket,open_time,close_time,side,volume,price,pnl,candidate_source,matched_status,match_type,timestamp_delta_seconds,price_delta,pnl_delta,discrepancy_reason
36094988,2025-09-25T19:32:56,2025-09-25T19:42:55,Buy,0.01,3736.13,0.97,PUBLIC_SEARCH_EXHAUSTIVE,UNMATCHED,NONE,N/A,N/A,N/A,No public trading record exists matching ticket or timestamp-price tuple
36095791,2025-09-25T19:43:46,2025-09-25T19:45:31,Sell,0.01,3736.72,2.52,PUBLIC_SEARCH_EXHAUSTIVE,UNMATCHED,NONE,N/A,N/A,N/A,No public trading record exists matching ticket or timestamp-price tuple
36148327,2025-09-26T18:47:57,2025-09-26T18:54:27,Buy,0.01,3779.39,0.82,PUBLIC_SEARCH_EXHAUSTIVE,UNMATCHED,NONE,N/A,N/A,N/A,No public trading record exists matching ticket or timestamp-price tuple
36168589,2025-09-29T08:46:42,2025-09-29T08:52:58,Buy,0.01,3805.93,3.9,PUBLIC_SEARCH_EXHAUSTIVE,UNMATCHED,NONE,N/A,N/A,N/A,No public trading record exists matching ticket or timestamp-price tuple
36168590,2025-09-29T08:46:47,2025-09-29T08:52:55,Buy,0.01,3805.93,3.52,PUBLIC_SEARCH_EXHAUSTIVE,UNMATCHED,NONE,N/A,N/A,N/A,No public trading record exists matching ticket or timestamp-price tuple
36227385,2025-09-30T11:20:52,2025-09-30T11:22:05,Sell,0.01,3833.38,6.03,PUBLIC_SEARCH_EXHAUSTIVE,UNMATCHED,NONE,N/A,N/A,N/A,No public trading record exists matching ticket or timestamp-price tuple
36227388,2025-09-30T11:20:57,2025-09-30T11:23:20,Sell,0.03,3833.24,6.79,PUBLIC_SEARCH_EXHAUSTIVE,UNMATCHED,NONE,N/A,N/A,N/A,No public trading record exists matching ticket or timestamp-price tuple
36228676,2025-09-30T11:25:56,2025-09-30T11:30:17,Sell,0.01,3830.54,12.91,PUBLIC_SEARCH_EXHAUSTIVE,UNMATCHED,NONE,N/A,N/A,N/A,No public trading record exists matching ticket or timestamp-price tuple
36274877,2025-10-01T09:25:14,2025-10-01T09:29:01,Buy,0.01,3858.64,2.01,PUBLIC_SEARCH_EXHAUSTIVE,UNMATCHED,NONE,N/A,N/A,N/A,No public trading record exists matching ticket or timestamp-price tuple
36283671,2025-10-01T11:28:02,2025-10-01T11:34:32,Sell,0.01,3893.34,6.25,PUBLIC_SEARCH_EXHAUSTIVE,UNMATCHED,NONE,N/A,N/A,N/A,No public trading record exists matching ticket or timestamp-price tuple
36322976,2025-10-02T08:13:35,2025-10-02T09:05:06,Buy,0.01,3868.72,1.21,PUBLIC_SEARCH_EXHAUSTIVE,UNMATCHED,NONE,N/A,N/A,N/A,No public trading record exists matching ticket or timestamp-price tuple
36334931,2025-10-02T15:17:55,2025-10-02T15:20:28,Buy,0.01,3881.12,1.43,PUBLIC_SEARCH_EXHAUSTIVE,UNMATCHED,NONE,N/A,N/A,N/A,No public trading record exists matching ticket or timestamp-price tuple
36335183,2025-10-02T15:23:08,2025-10-02T15:31:38,Buy,0.01,3882.36,1.32,PUBLIC_SEARCH_EXHAUSTIVE,UNMATCHED,NONE,N/A,N/A,N/A,No public trading record exists matching ticket or timestamp-price tuple
