ticket,timestamp,side,observed_price,m1_open,m1_high,m1_low,price_position_in_reference_m1_range,price_minus_reference_open,within_reference_m1_range
36094988,2025-09-25 19:32:56,Buy,3736.13,3735.448,3736.458,3735.328,0.7097345132743869,0.6820000000002437,True
36095791,2025-09-25 19:43:46,Sell,3736.72,3737.055,3737.055,3735.555,0.7766666666666424,-0.3350000000000364,True
36148327,2025-09-26 18:47:57,Buy,3779.39,3776.985,3779.265,3776.955,1.0541125541125553,2.4049999999997453,False
36168589,2025-09-29 08:46:42,Buy,3805.93,3805.498,3805.598,3804.498,1.3018181818180976,0.431999999999789,False
36168590,2025-09-29 08:46:47,Buy,3805.93,3805.498,3805.598,3804.498,1.3018181818180976,0.431999999999789,False
36227385,2025-09-30 11:20:52,Sell,3833.38,3832.245,3833.115,3829.958,1.08394044979422,1.1350000000002183,False
36227388,2025-09-30 11:20:57,Sell,3833.24,3832.245,3833.115,3829.958,1.0395945517896776,0.9949999999998909,False
36228676,2025-09-30 11:25:56,Sell,3830.54,3829.645,3830.895,3829.225,0.7874251497005972,0.8949999999999818,True
36274877,2025-10-01 09:25:14,Buy,3858.64,3857.065,3860.035,3856.935,0.5499999999999927,1.574999999999818,True
36283671,2025-10-01 11:28:02,Sell,3893.34,3892.975,3893.005,3891.535,1.2278911564625703,0.36500000000023647,False
36322976,2025-10-02 08:13:35,Buy,3868.72,3868.275,3868.275,3867.585,1.6449275362314113,0.44499999999970896,False
36334931,2025-10-02 15:17:55,Buy,3881.12,3882.775,3882.775,3880.035,0.39598540145983313,-1.6550000000002,True
36335183,2025-10-02 15:23:08,Buy,3882.36,3882.295,3882.925,3881.015,0.704188481675412,0.06500000000005457,True
36335196,2025-10-02 15:23:37,Buy,3882.34,3882.295,3882.925,3881.015,0.6937172774869416,0.04500000000007276,True
36337657,2025-10-02 16:13:13,Sell,3890.78,3891.025,3891.945,3890.435,0.2284768211921886,-0.24499999999989086,True
36368405,2025-10-03 10:17:25,Buy,3860.35,3857.735,3860.415,3857.715,0.9759259259259041,2.6149999999997817,True
36383087,2025-10-03 18:18:08,Buy,3878.35,3878.945,3880.015,3878.445,-0.060509554140300806,-0.5950000000002547,False
36414174,2025-10-06 12:14:39,Sell,3943.07,3943.115,3943.115,3942.445,0.9328358208960542,-0.04499999999961801,True
36416362,2025-10-06 14:10:55,Sell,3938.03,3937.678,3938.135,3936.825,0.9198473282442854,0.3520000000003165,True
36450406,2025-10-07 08:47:44,Sell,3962.08,3961.885,3962.245,3961.565,0.7573529411764657,0.19499999999970896,True
36450588,2025-10-07 08:53:49,Sell,3964.19,3962.855,3965.025,3962.715,0.6385281385281142,1.3350000000000364,True
36451248,2025-10-07 09:17:36,Buy,3963.3,3963.175,3963.715,3962.265,0.7137931034483548,0.125,True
36508294,2025-10-08 12:19:47,Sell,4036.35,4035.715,4036.455,4035.455,0.8949999999999818,0.6349999999997635,True
36508676,2025-10-08 12:36:16,Buy,4035.65,4035.025,4036.285,4035.025,0.49603174603183914,0.625,True
36508993,2025-10-08 12:42:32,Buy,4039.03,4039.645,4040.005,4038.875,0.1371681415930842,-0.6149999999997817,True
36561296,2025-10-09 14:04:35,Sell,4039.78,4040.305,4040.795,4039.345,0.30000000000021954,-0.5249999999996362,True
36562289,2025-10-09 14:19:30,Buy,4035.78,4035.865,4035.995,4034.785,0.8223140495870378,-0.08499999999958163,True
36562770,2025-10-09 14:42:13,Buy,4042.07,4041.905,4042.605,4041.905,0.235714285714295,0.16499999999996362,True
36640713,2025-10-10 19:29:10,Buy,3989.25,3989.305,3989.315,3987.525,0.9636871508379576,-0.05499999999983629,True
