ticket,role,observed_timestamp,observed_entry_minute,control_timestamp,state_similarity,event_sequence_similarity,observed_event_cross_prior_high_10,control_event_cross_prior_high_10,observed_event_cross_prior_low_10,control_event_cross_prior_low_10,observed_event_cross_prior_high_20,control_event_cross_prior_high_20,observed_event_cross_prior_low_20,control_event_cross_prior_low_20,observed_event_cross_session_high,control_event_cross_session_high,observed_event_cross_session_low,control_event_cross_session_low,observed_event_cross_vwap,control_event_cross_vwap,observed_event_cross_ema20,control_event_cross_ema20,observed_event_large_body_expansion,control_event_large_body_expansion,observed_event_compression_to_expansion,control_event_compression_to_expansion,observed_event_higher_low_break,control_event_higher_low_break,observed_event_lower_high_break,control_event_lower_high_break,observed_event_false_break_high,control_event_false_break_high,observed_event_false_break_low,control_event_false_break_low,observed_event_impulse_pullback_cont_up,control_event_impulse_pullback_cont_up,observed_event_impulse_pullback_cont_down,control_event_impulse_pullback_cont_down,observed_event_immediate_reversal,control_event_immediate_reversal,observed_boundary_5,control_boundary_5,observed_boundary_15,control_boundary_15,observed_boundary_30,control_boundary_30,observed_boundary_60,control_boundary_60
36094988,after,2025-09-25 19:32:56,2025-09-25 19:32:00,2025-09-25 19:35:00,0.13448392242557353,0.9411764705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36095791,before,2025-09-25 19:43:46,2025-09-25 19:43:00,2025-09-25 19:40:00,0.11231482122868194,0.9411764705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36095791,after,2025-09-25 19:43:46,2025-09-25 19:43:00,2025-09-25 20:44:00,0.15474800882287668,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36148327,before,2025-09-26 18:47:57,2025-09-26 18:47:00,2025-09-26 18:20:00,0.08357253061413264,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36148327,after,2025-09-26 18:47:57,2025-09-26 18:47:00,2025-09-26 19:48:00,0.16257010313759362,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36168589,before,2025-09-29 08:46:42,2025-09-29 08:46:00,2025-09-29 08:36:00,0.1429480650772169,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36168589,after,2025-09-29 08:46:42,2025-09-29 08:46:00,2025-09-29 09:34:00,0.1692718393390868,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36168590,before,2025-09-29 08:46:47,2025-09-29 08:46:00,2025-09-29 08:36:00,0.1429480650772169,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36168590,after,2025-09-29 08:46:47,2025-09-29 08:46:00,2025-09-29 09:34:00,0.1692718393390868,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36227385,before,2025-09-30 11:20:52,2025-09-30 11:20:00,2025-09-30 11:07:00,0.1703640761093976,0.8235294117647058,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36227385,after,2025-09-30 11:20:52,2025-09-30 11:20:00,2025-09-30 11:24:00,0.3196862118925621,0.8235294117647058,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36227388,before,2025-09-30 11:20:57,2025-09-30 11:20:00,2025-09-30 11:07:00,0.1703640761093976,0.8235294117647058,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36227388,after,2025-09-30 11:20:57,2025-09-30 11:20:00,2025-09-30 11:24:00,0.3196862118925621,0.8235294117647058,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36228676,before,2025-09-30 11:25:56,2025-09-30 11:25:00,2025-09-30 11:13:00,0.25762380343844926,0.9411764705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36228676,after,2025-09-30 11:25:56,2025-09-30 11:25:00,2025-09-30 11:29:00,0.3618437803655932,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36274877,before,2025-10-01 09:25:14,2025-10-01 09:25:00,2025-10-01 08:47:00,0.24619180074649394,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36274877,after,2025-10-01 09:25:14,2025-10-01 09:25:00,2025-10-01 10:03:00,0.16251826154245666,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36283671,before,2025-10-01 11:28:02,2025-10-01 11:28:00,2025-10-01 11:10:00,0.28403780767906933,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36283671,after,2025-10-01 11:28:02,2025-10-01 11:28:00,2025-10-01 11:30:00,0.22780520329600554,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
36322976,before,2025-10-02 08:13:35,2025-10-02 08:13:00,2025-10-02 08:07:00,0.06621440768800287,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36322976,after,2025-10-02 08:13:35,2025-10-02 08:13:00,2025-10-02 09:11:00,0.2080449709584596,0.7647058823529411,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36334931,before,2025-10-02 15:17:55,2025-10-02 15:17:00,2025-10-02 15:14:00,0.3073453553410425,0.7647058823529411,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36334931,after,2025-10-02 15:17:55,2025-10-02 15:17:00,2025-10-02 15:19:00,0.236561238432792,0.8235294117647058,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36335183,before,2025-10-02 15:23:08,2025-10-02 15:23:00,2025-10-02 15:21:00,0.14713005564442008,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36335183,after,2025-10-02 15:23:08,2025-10-02 15:23:00,2025-10-02 15:32:00,0.2969886621545014,0.9411764705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36335196,before,2025-10-02 15:23:37,2025-10-02 15:23:00,2025-10-02 15:21:00,0.14713005564442008,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36335196,after,2025-10-02 15:23:37,2025-10-02 15:23:00,2025-10-02 15:32:00,0.2969886621545014,0.9411764705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36337657,before,2025-10-02 16:13:13,2025-10-02 16:13:00,2025-10-02 15:39:00,0.1923962248171535,0.9411764705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36337657,after,2025-10-02 16:13:13,2025-10-02 16:13:00,2025-10-02 16:15:00,0.27161153139724153,0.9411764705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
36368405,before,2025-10-03 10:17:25,2025-10-03 10:17:00,2025-10-03 09:53:00,0.1542720712617501,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36368405,after,2025-10-03 10:17:25,2025-10-03 10:17:00,2025-10-03 11:25:00,0.169601769389582,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36383087,before,2025-10-03 18:18:08,2025-10-03 18:18:00,2025-10-03 18:13:00,0.07657120584935498,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36383087,after,2025-10-03 18:18:08,2025-10-03 18:18:00,2025-10-03 18:45:00,0.1553153216532211,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
36414174,before,2025-10-06 12:14:39,2025-10-06 12:14:00,2025-10-06 12:10:00,0.05994704341022271,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36414174,after,2025-10-06 12:14:39,2025-10-06 12:14:00,2025-10-06 12:36:00,0.05143311169938124,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36416362,before,2025-10-06 14:10:55,2025-10-06 14:10:00,2025-10-06 13:08:00,0.20886486828047626,0.9411764705882353,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36416362,after,2025-10-06 14:10:55,2025-10-06 14:10:00,2025-10-06 14:16:00,0.22418815906614523,0.7647058823529411,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36450406,before,2025-10-07 08:47:44,2025-10-07 08:47:00,2025-10-07 08:27:00,0.14468669020697475,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36450406,after,2025-10-07 08:47:44,2025-10-07 08:47:00,2025-10-07 08:50:00,0.10562509486057736,0.9411764705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36450588,before,2025-10-07 08:53:49,2025-10-07 08:53:00,2025-10-07 08:49:00,0.08786179072846202,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36450588,after,2025-10-07 08:53:49,2025-10-07 08:53:00,2025-10-07 08:55:00,0.14283139776021475,0.9411764705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36451248,before,2025-10-07 09:17:36,2025-10-07 09:17:00,2025-10-07 09:13:00,0.02436699462640817,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36451248,after,2025-10-07 09:17:36,2025-10-07 09:17:00,2025-10-07 09:28:00,0.07735106540197807,0.9411764705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36508294,before,2025-10-08 12:19:47,2025-10-08 12:19:00,2025-10-08 12:11:00,0.10171217679918912,0.8823529411764706,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36508294,after,2025-10-08 12:19:47,2025-10-08 12:19:00,2025-10-08 12:21:00,0.07565631752331076,0.8823529411764706,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36508676,before,2025-10-08 12:36:16,2025-10-08 12:36:00,2025-10-08 12:04:00,0.17050048055580203,0.9411764705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36508676,after,2025-10-08 12:36:16,2025-10-08 12:36:00,2025-10-08 12:41:00,0.25617383839486224,0.9411764705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36508993,before,2025-10-08 12:42:32,2025-10-08 12:42:00,2025-10-08 11:06:00,0.25066724842504673,0.9411764705882353,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36508993,after,2025-10-08 12:42:32,2025-10-08 12:42:00,2025-10-08 12:49:00,0.24470029519861897,0.7058823529411765,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36561296,before,2025-10-09 14:04:35,2025-10-09 14:04:00,2025-10-09 13:05:00,0.3418435318830677,0.8235294117647058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36561296,after,2025-10-09 14:04:35,2025-10-09 14:04:00,2025-10-09 14:07:00,0.144821796364764,0.8823529411764706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36562289,before,2025-10-09 14:19:30,2025-10-09 14:19:00,2025-10-09 14:17:00,0.08393887121988947,0.8235294117647058,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36562289,after,2025-10-09 14:19:30,2025-10-09 14:19:00,2025-10-09 14:25:00,0.15692677443209374,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36562770,before,2025-10-09 14:42:13,2025-10-09 14:42:00,2025-10-09 14:37:00,0.1057877568849206,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36562770,after,2025-10-09 14:42:13,2025-10-09 14:42:00,2025-10-09 14:44:00,0.3287738478217047,0.8235294117647058,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36640713,before,2025-10-10 19:29:10,2025-10-10 19:29:00,2025-10-10 19:25:00,0.36076659322291066,0.8823529411764706,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36640713,after,2025-10-10 19:29:10,2025-10-10 19:29:00,2025-10-10 19:32:00,0.17124548460616085,0.9411764705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36682106,before,2025-10-13 15:38:45,2025-10-13 15:38:00,2025-10-13 14:24:00,0.2332072524980014,0.9411764705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36682106,after,2025-10-13 15:38:45,2025-10-13 15:38:00,2025-10-13 15:41:00,0.19535559575851869,0.9411764705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36725889,before,2025-10-14 10:42:54,2025-10-14 10:42:00,2025-10-14 10:31:00,0.12465089642686206,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36725889,after,2025-10-14 10:42:54,2025-10-14 10:42:00,2025-10-14 10:48:00,0.1390522985352939,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36726171,before,2025-10-14 10:52:46,2025-10-14 10:52:00,2025-10-14 10:36:00,0.1766059561044548,0.8823529411764706,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36726171,after,2025-10-14 10:52:46,2025-10-14 10:52:00,2025-10-14 11:04:00,0.22556599445941952,0.8823529411764706,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36768836,before,2025-10-15 09:35:08,2025-10-15 09:35:00,2025-10-15 09:32:00,0.07470398474464013,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36768836,after,2025-10-15 09:35:08,2025-10-15 09:35:00,2025-10-15 09:40:00,0.09767195250945265,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
36829765,before,2025-10-16 13:15:47,2025-10-16 13:15:00,2025-10-16 13:10:00,0.25703956610414685,0.8235294117647058,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
36829765,after,2025-10-16 13:15:47,2025-10-16 13:15:00,2025-10-16 13:45:00,0.1335523637296398,0.8235294117647058,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
36829878,before,2025-10-16 13:23:12,2025-10-16 13:23:00,2025-10-16 13:20:00,0.09984280389945265,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36829878,after,2025-10-16 13:23:12,2025-10-16 13:23:00,2025-10-16 13:40:00,0.10588744923243154,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
36829995,before,2025-10-16 13:29:09,2025-10-16 13:29:00,2025-10-16 13:14:00,0.20889141730108648,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36829995,after,2025-10-16 13:29:09,2025-10-16 13:29:00,2025-10-16 13:35:00,0.0912485112814062,0.9411764705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
