ticket,side,lots,recorded_open,recorded_close,recorded_price,recorded_pnl,candidate_feed,timezone_offset,price_role,contract_multiplier,feed_open_price,feed_close_price,implied_other_price,entry_error,exit_error,reconstructed_pnl,pnl_residual,timing_error,matched,match_reason
00983845,Buy,0.01,2026-09-18T06:25:04,2026-09-18T06:33:14,4336.1,8.26,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4335.445,4345.515,4344.36,0.655,1.155,10.07,-1.81,0s_exact_bar,True,EXACT_BAR_MATCH
100829495,Sell,0.01,2026-09-17T16:21:20,2026-09-17T16:29:43,4373.27,6.53,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4373.405,4366.955,4366.74,0.135,0.215,6.45,0.08,0s_exact_bar,True,EXACT_BAR_MATCH
100675478,Sell,0.01,2026-09-17T09:20:36,2026-09-17T09:22:53,4306.96,-1.44,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4306.915,4307.485,4308.4,0.045,0.915,-0.57,-0.87,0s_exact_bar,True,EXACT_BAR_MATCH
100653865,Buy,0.01,2026-09-17T06:00:33,2026-09-17T06:21:35,4279.11,5.2,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4279.265,4284.385,4284.31,0.155,0.075,5.12,0.08,0s_exact_bar,True,EXACT_BAR_MATCH
100453335,Buy,0.01,2026-09-16T09:36:42,2026-09-16T10:00:07,4325.5,6.74,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4324.685,4333.595,4332.24,0.815,1.355,8.91,-2.17,0s_exact_bar,True,EXACT_BAR_MATCH
100126875,Sell,0.01,2026-09-15T08:52:49,2026-09-15T08:58:55,4298.08,5.8,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4297.958,4291.428,4292.28,0.122,0.852,6.53,-0.73,0s_exact_bar,True,EXACT_BAR_MATCH
99754992,Buy,0.01,2026-09-11T18:20:15,2026-09-11T18:30:18,4363.75,6.64,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4363.415,4371.095,4370.39,0.335,0.705,7.68,-1.04,0s_exact_bar,True,EXACT_BAR_MATCH
99738973,Buy,0.01,2026-09-11T07:57:55,2026-09-11T08:02:21,4333.59,-4.97,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4333.846,4329.051,4328.62,0.256,0.431,-4.8,-0.17,0s_exact_bar,True,EXACT_BAR_MATCH
99615317,Sell,0.01,2026-09-10T22:27:09,2026-09-10T23:02:43,4329.05,5.71,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4330.515,4322.315,4323.34,1.465,1.025,8.2,-2.49,0s_exact_bar,True,EXACT_BAR_MATCH
99208828,Buy,0.01,2026-09-09T16:01:58,2026-09-09T16:15:54,4404.63,7.78,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4404.185,4412.465,4412.41,0.445,0.055,8.28,-0.5,0s_exact_bar,True,EXACT_BAR_MATCH
99000862,Sell,0.01,2026-09-08T20:07:06,2026-09-08T20:29:05,4399.59,4.28,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4398.585,4394.215,4395.31,1.005,1.095,4.37,-0.09,0s_exact_bar,True,EXACT_BAR_MATCH
98440487,Buy,0.01,2026-09-07T10:01:54,2026-09-07T10:05:53,4394.74,4.39,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4393.495,4399.435,4399.13,1.245,0.305,5.94,-1.55,0s_exact_bar,True,EXACT_BAR_MATCH
98366050,Sell,0.01,2026-09-04T15:43:11,2026-09-04T15:48:05,4401.75,17.67,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4400.685,4389.725,4384.08,1.065,5.645,10.96,6.71,0s_exact_bar,True,EXACT_BAR_MATCH
98188192,Sell,0.01,2026-09-03T12:36:09,2026-09-03T12:57:10,4434.76,7.19,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4434.945,4428.645,4427.57,0.185,1.075,6.3,0.89,0s_exact_bar,True,EXACT_BAR_MATCH
98161217,Sell,0.01,2026-09-03T08:48:56,2026-09-03T08:52:15,4434.66,-3.75,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4435.525,4436.685,4438.41,0.865,1.725,-1.16,-2.59,0s_exact_bar,True,EXACT_BAR_MATCH
98070555,Buy,0.01,2026-09-02T18:21:55,2026-09-02T18:25:56,4366.67,2.5,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4366.555,4369.515,4369.17,0.115,0.345,2.96,-0.46,0s_exact_bar,True,EXACT_BAR_MATCH
97982386,Buy,0.01,2026-09-02T09:04:25,2026-09-02T11:50:28,4319.11,1.28,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4318.255,4319.925,4320.39,0.855,0.465,1.67,-0.39,0s_exact_bar,True,EXACT_BAR_MATCH
97800092,Sell,0.01,2026-09-01T09:00:02,2026-09-01T09:05:54,4440.12,1.9,RoboForex_ProFix_XAUUSD_M1,DST_EET_EEST,H_ENTRY,100.0,4440.045,4437.425,4438.22,0.075,0.795,2.62,-0.72,0s_exact_bar,True,EXACT_BAR_MATCH
